Business Name,Category,City,Customer ID,Date,State,Number of Records,Spend
Nora's Cuisine,Cafes,Enterprise,XqtcjU9d8bDccPQ3O1EQVA,1/1/2015,NV,1,
Nora's Cuisine,Restaurants,Enterprise,XqtcjU9d8bDccPQ3O1EQVA,1/1/2015,NV,1,
Nora's Cuisine,Bars,Enterprise,XqtcjU9d8bDccPQ3O1EQVA,1/1/2015,NV,1,56.55
Scarpetta,Cafes,Henderson,Lc9LmBuK24mSrDluIs_8Gg,1/1/2015,NV,1,
Scarpetta,Restaurants,Henderson,Lc9LmBuK24mSrDluIs_8Gg,1/1/2015,NV,1,
Scarpetta,Bars,Henderson,Lc9LmBuK24mSrDluIs_8Gg,1/1/2015,NV,1,98.3
The Chandelier,Cafes,Las Vegas,3k9YWC9ukhnGPVuDb-erSQ,1/1/2015,NV,1,
The Chandelier,Bars,Las Vegas,3k9YWC9ukhnGPVuDb-erSQ,1/1/2015,NV,1,
The Chandelier,Restaurants,Las Vegas,3k9YWC9ukhnGPVuDb-erSQ,1/1/2015,NV,1,330.89
Frankie's Tiki Room,Cafes,Paradise,3qOJVyTUfjpbyHy8lhqhog,1/1/2015,NV,1,
Frankie's Tiki Room,Bars,Paradise,3qOJVyTUfjpbyHy8lhqhog,1/1/2015,NV,1,
Frankie's Tiki Room,Restaurants,Paradise,3qOJVyTUfjpbyHy8lhqhog,1/1/2015,NV,1,300.36
Brio Tuscan Grille,Restaurants,Enterprise,80-MYGu3roY5eXHAvO0OAw,1/2/2015,NV,1,
Brio Tuscan Grille,Cafes,Enterprise,80-MYGu3roY5eXHAvO0OAw,1/2/2015,NV,1,
Brio Tuscan Grille,Bars,Enterprise,80-MYGu3roY5eXHAvO0OAw,1/2/2015,NV,1,77.92
LAVO Italian Restaurant & Lounge,Restaurants,Enterprise,rI7vKfmCUmlCyrJ6edz-5w,1/2/2015,NV,1,
LAVO Italian Restaurant & Lounge,Cafes,Enterprise,rI7vKfmCUmlCyrJ6edz-5w,1/2/2015,NV,1,
LAVO Italian Restaurant & Lounge,Bars,Enterprise,rI7vKfmCUmlCyrJ6edz-5w,1/2/2015,NV,1,50.68
Margaritaville,Restaurants,Enterprise,VQn4csaGtX0mhr-VaZzREg,1/2/2015,NV,1,
Margaritaville,Cafes,Enterprise,VQn4csaGtX0mhr-VaZzREg,1/2/2015,NV,1,
Margaritaville,Bars,Enterprise,VQn4csaGtX0mhr-VaZzREg,1/2/2015,NV,1,21.9
SUSHISAMBA Las Vegas,Bars,Enterprise,zL3J_eG0S2X4XgSmaMqwYQ,1/2/2015,NV,1,
SUSHISAMBA Las Vegas,Cafes,Enterprise,zL3J_eG0S2X4XgSmaMqwYQ,1/2/2015,NV,1,
SUSHISAMBA Las Vegas,Restaurants,Enterprise,zL3J_eG0S2X4XgSmaMqwYQ,1/2/2015,NV,1,164.51
The Bagel Café,Restaurants,Enterprise,5zvluUo88izxKboCLoBUgw,1/3/2015,NV,1,
The Bagel Café,Bars,Enterprise,5zvluUo88izxKboCLoBUgw,1/3/2015,NV,1,
The Bagel Café,Cafes,Enterprise,5zvluUo88izxKboCLoBUgw,1/3/2015,NV,1,21.25
The Peppermill Restaurant & Fireside Lounge,Cafes,Enterprise,cdhIOG9HKJKBtRC-AXckEg,1/3/2015,NV,1,
The Peppermill Restaurant & Fireside Lounge,Bars,Enterprise,cdhIOG9HKJKBtRC-AXckEg,1/3/2015,NV,1,
The Peppermill Restaurant & Fireside Lounge,Restaurants,Enterprise,cdhIOG9HKJKBtRC-AXckEg,1/3/2015,NV,1,228.73
Brio Tuscan Grille,Restaurants,Enterprise,STcCu-FCjB4gjMRkMb_B3Q,1/4/2015,NV,1,
Brio Tuscan Grille,Cafes,Enterprise,STcCu-FCjB4gjMRkMb_B3Q,1/4/2015,NV,1,
Brio Tuscan Grille,Bars,Enterprise,STcCu-FCjB4gjMRkMb_B3Q,1/4/2015,NV,1,47.02
LAVO Italian Restaurant & Lounge,Restaurants,Enterprise,GvEjcS8C4vWkxbkMsRt3dA,1/4/2015,NV,1,
LAVO Italian Restaurant & Lounge,Cafes,Enterprise,GvEjcS8C4vWkxbkMsRt3dA,1/4/2015,NV,1,
LAVO Italian Restaurant & Lounge,Bars,Enterprise,GvEjcS8C4vWkxbkMsRt3dA,1/4/2015,NV,1,47.33
Frankie's Tiki Room,Cafes,Enterprise,KtNT8biTJlbAFh-APgO7-w,1/5/2015,NV,1,
Frankie's Tiki Room,Bars,Enterprise,KtNT8biTJlbAFh-APgO7-w,1/5/2015,NV,1,
Frankie's Tiki Room,Restaurants,Enterprise,KtNT8biTJlbAFh-APgO7-w,1/5/2015,NV,1,393.04
The Bagel Café,Bars,Enterprise,0xBVXB3C8T2xsQ01sFRfKQ,1/5/2015,NV,1,
The Bagel Café,Restaurants,Enterprise,0xBVXB3C8T2xsQ01sFRfKQ,1/5/2015,NV,1,
The Bagel Café,Cafes,Enterprise,0xBVXB3C8T2xsQ01sFRfKQ,1/5/2015,NV,1,4.53
CUT,Bars,Enterprise,lLc4ReaxbdUbK_9oe6m4pw,1/6/2015,NV,1,
CUT,Cafes,Enterprise,lLc4ReaxbdUbK_9oe6m4pw,1/6/2015,NV,1,
CUT,Restaurants,Enterprise,lLc4ReaxbdUbK_9oe6m4pw,1/6/2015,NV,1,417.27
SUSHISAMBA Las Vegas,Bars,Paradise,vyiHjaQlESGcXgEfEmH4ow,1/6/2015,NV,1,
SUSHISAMBA Las Vegas,Cafes,Paradise,vyiHjaQlESGcXgEfEmH4ow,1/6/2015,NV,1,
SUSHISAMBA Las Vegas,Restaurants,Paradise,vyiHjaQlESGcXgEfEmH4ow,1/6/2015,NV,1,164.67
The Bagel Café,Restaurants,Paradise,2uwalj8GE5VxvrCUb_lNRA,1/6/2015,NV,1,
The Bagel Café,Bars,Paradise,2uwalj8GE5VxvrCUb_lNRA,1/6/2015,NV,1,
The Bagel Café,Cafes,Paradise,2uwalj8GE5VxvrCUb_lNRA,1/6/2015,NV,1,24.16
The Chandelier,Bars,Paradise,kRbaEclEHTI5bCybEEH4wA,1/6/2015,NV,1,
The Chandelier,Cafes,Paradise,kRbaEclEHTI5bCybEEH4wA,1/6/2015,NV,1,
The Chandelier,Restaurants,Paradise,kRbaEclEHTI5bCybEEH4wA,1/6/2015,NV,1,241.42
The Chandelier,Cafes,Paradise,Yd4NVsow2YSmh7czWJIo1g,1/6/2015,NV,1,
The Chandelier,Bars,Paradise,Yd4NVsow2YSmh7czWJIo1g,1/6/2015,NV,1,
The Chandelier,Restaurants,Paradise,Yd4NVsow2YSmh7czWJIo1g,1/6/2015,NV,1,137.82
Brio Tuscan Grille,Cafes,Paradise,DtaCNzzBnfYcDvXE0N270g,1/7/2015,NV,1,
Brio Tuscan Grille,Restaurants,Paradise,DtaCNzzBnfYcDvXE0N270g,1/7/2015,NV,1,
Brio Tuscan Grille,Bars,Paradise,DtaCNzzBnfYcDvXE0N270g,1/7/2015,NV,1,7.36
CUT,Bars,Paradise,V3kL1J_kP-7dBf_JgcyODw,1/7/2015,NV,1,
CUT,Cafes,Paradise,V3kL1J_kP-7dBf_JgcyODw,1/7/2015,NV,1,
CUT,Restaurants,Paradise,V3kL1J_kP-7dBf_JgcyODw,1/7/2015,NV,1,136.95
Frankie's Tiki Room,Cafes,Paradise,xNb8pFe99ENj8BeMsCBPcQ,1/7/2015,NV,1,
Frankie's Tiki Room,Bars,Paradise,xNb8pFe99ENj8BeMsCBPcQ,1/7/2015,NV,1,
Frankie's Tiki Room,Restaurants,Paradise,xNb8pFe99ENj8BeMsCBPcQ,1/7/2015,NV,1,272.77
CUT,Bars,Paradise,4jBdBhngtrcGzTDKjKbmlQ,1/8/2015,NV,1,
CUT,Cafes,Paradise,4jBdBhngtrcGzTDKjKbmlQ,1/8/2015,NV,1,
CUT,Restaurants,Paradise,4jBdBhngtrcGzTDKjKbmlQ,1/8/2015,NV,1,187.86
Margaritaville,Restaurants,Paradise,yR3jLGMZ1ug7zdPI_xKgTA,1/8/2015,NV,1,
Margaritaville,Cafes,Paradise,yR3jLGMZ1ug7zdPI_xKgTA,1/8/2015,NV,1,
Margaritaville,Bars,Paradise,yR3jLGMZ1ug7zdPI_xKgTA,1/8/2015,NV,1,78.74
SUSHISAMBA Las Vegas,Cafes,Paradise,NW_WOT7RcWvmFZRh98CKyA,1/8/2015,NV,1,
SUSHISAMBA Las Vegas,Bars,Paradise,NW_WOT7RcWvmFZRh98CKyA,1/8/2015,NV,1,
