Country,Region,Year,Energy_Type,Production_GWh,CO2_Saved_tons
South Africa,Africa,2015,Tidal,3775.64,2376.22
South Africa,Africa,2015,Biomass,1365.34,1885.7
South Africa,Africa,2015,Wind,3347.59,4491.44
South Africa,Africa,2015,Solar,1356.85,1403.64
China,Asia,2015,Geothermal,5680.27,7724.47
China,Asia,2015,Hydro,4694.22,3648.09
China,Asia,2015,Tidal,3388.36,2544.51
China,Asia,2015,Solar,6634.04,9413.36
India,Asia,2015,Tidal,4868.3,3305.22
India,Asia,2015,Wind,4034.39,5570.85
India,Asia,2015,Geothermal,10521.01,10380.5
India,Asia,2015,Hydro,1641.79,1589.28
India,Asia,2015,Solar,8230.28,7023.01
India,Asia,2015,Biomass,5571.36,8492.48
Japan,Asia,2015,Hydro,2681.15,2410.98
Japan,Asia,2015,Geothermal,2306.79,3018.99
Japan,Asia,2015,Solar,2189.88,2314.68
Japan,Asia,2015,Tidal,2726.71,3613.77
Japan,Asia,2015,Biomass,1682.47,2143.14
Japan,Asia,2015,Wind,1731.81,2100.8
Saudi Arabia,Asia,2015,Tidal,4565.12,6431.38
Saudi Arabia,Asia,2015,Solar,4518.14,4034.35
Saudi Arabia,Asia,2015,Biomass,8666.76,12199.11
Saudi Arabia,Asia,2015,Geothermal,2634.44,2693.03
South Korea,Asia,2015,Geothermal,3009.78,3646.36
South Korea,Asia,2015,Tidal,2989.52,4266.08
South Korea,Asia,2015,Hydro,2841.36,1823.66
South Korea,Asia,2015,Solar,1650.05,2519.8
South Korea,Asia,2015,Wind,6505.75,6017.14
United Arab Emirates,Asia,2015,Solar,4677.5,6032.66
United Arab Emirates,Asia,2015,Biomass,3835.75,5117.91
United Arab Emirates,Asia,2015,Wind,3129.49,4775.36
United Arab Emirates,Asia,2015,Hydro,1220.71,901.38
Denmark,Europe,2015,Biomass,2285.21,2546.04
Denmark,Europe,2015,Hydro,4116.53,4571.04
Denmark,Europe,2015,Tidal,4506.46,5675.5
Denmark,Europe,2015,Geothermal,5941.9,8603.76
Finland,Europe,2015,Solar,2095.28,2717.75
Finland,Europe,2015,Tidal,1371.86,1709.41
Finland,Europe,2015,Geothermal,3269.03,2914.4
Finland,Europe,2015,Biomass,1508.29,2334
Finland,Europe,2015,Wind,3890.72,4774.99
France,Europe,2015,Biomass,4754.11,5467.69
France,Europe,2015,Hydro,1531.75,1429.6
France,Europe,2015,Geothermal,2385.25,3085.74
France,Europe,2015,Wind,3673.49,4535.97
France,Europe,2015,Tidal,1075.9,1689.36
Germany,Europe,2015,Geothermal,5068.69,3177.9
Germany,Europe,2015,Biomass,851.26,1057.9
Germany,Europe,2015,Solar,7532,9062.9
Germany,Europe,2015,Tidal,480.7,470.66
Italy,Europe,2015,Biomass,445.61,676.39
Italy,Europe,2015,Wind,6151.17,7154.48
Italy,Europe,2015,Hydro,5897.65,6441.57
Italy,Europe,2015,Solar,9883.44,6208.84
Italy,Europe,2015,Geothermal,993.47,827.19
Netherlands,Europe,2015,Geothermal,6670.85,9426.89
Netherlands,Europe,2015,Biomass,6069.6,7059.97
Netherlands,Europe,2015,Hydro,1195.14,1848.9
Norway,Europe,2015,Geothermal,3496.73,3254.07
Norway,Europe,2015,Wind,1195.81,1343.07
Norway,Europe,2015,Biomass,3511.36,5039.62
Norway,Europe,2015,Tidal,384.24,427.16
Norway,Europe,2015,Hydro,1222.29,781.54
Poland,Europe,2015,Hydro,3955.32,3655.64
Poland,Europe,2015,Tidal,817.19,1059.32
Poland,Europe,2015,Solar,1147.74,1259.24
Poland,Europe,2015,Wind,4263.13,4374.87
Poland,Europe,2015,Biomass,3449.9,3227.39
Spain,Europe,2015,Hydro,2400.6,3219.07
Spain,Europe,2015,Solar,4924.05,5136.33
Spain,Europe,2015,Wind,2218.58,2763.36
Spain,Europe,2015,Tidal,353.97,280.61
Spain,Europe,2015,Geothermal,4417.4,4926.59
Sweden,Europe,2015,Biomass,2685.44,4180.43
Sweden,Europe,2015,Wind,897.83,1318.05
Sweden,Europe,2015,Solar,2634.2,3565.64
Sweden,Europe,2015,Tidal,2305.48,1413.18
Sweden,Europe,2015,Geothermal,4131.96,3667.69
