Business Category,Business Name,Review Date,Review ID,User ID,Number of Records,Stars
Bars,Foundation Room,,dJgN7Ocr7L-FiUsbvLeGlg,D5mlAUZMCQ8yc0PxOgGpsQ,1,5
Bars,Morels French Steakhouse & Bistro,,Cyj1dTnwcLSwoWXKOYDc-w,6xrk6A61OWwOtmQAErZTvA,1,4
Restaurants,LAVO Italian Restaurant & Lounge,,3UBxc-QmWRaeNpZppSjy5A,jqVeTSin5GeRm0ceSg-PBA,1,5
Restaurants,Zoozacrackers Deli,,mL_oF-Q9thIJWuoRJCwDAQ,OTmth8Bp-bERku_lDF1BCQ,1,5
Restaurants,Capo's Italian Cuisine,1/1/2012,2Xt0w3sZplLu0xc6lqy1Kw,HYePUgL2QqZLMQnobh7imw,1,5
Bars,Beauty Bar,1/3/2012,IkFPywF3UnCyG9kzcBtUEg,aAsxorMmHDNmZfx43h2rEA,1,2
Bars,The Peppermill Restaurant & Fireside Lounge,1/3/2012,pPBHuiREUWrXDMvcRvjxHA,Gb74e3NProDiMq88JGvjpw,1,3
Restaurants,Canaletto,1/3/2012,Bdx45ZkR_bU9Jjz676phdA,SdZtzMCtVK7izX8twot9rQ,1,2
Restaurants,Il Fornaio,1/3/2012,Z_KY7we-Rf6M47wGL876xA,mC0YG0T0sIwXRRsC26Q0kw,1,5
Restaurants,Trattoria Reggiano,1/3/2012,xsVtTebo5zkno1jNpVa55w,HlVqy-Mv0FnhMbHz1W57yA,1,4
Bars,Bilbo's Bar & Grill,1/4/2012,et9mi1vUJkvWbKszittG7Q,GlNcv3FQRqgTSp3TsVwWUQ,1,3
Bars,Artisan Hotel Boutique,1/5/2012,hEdjpb90rNMZ6c131fdIoA,E7wgX0rRA8eZc_8uLdn89A,1,5
Bars,El Segundo Sol,1/5/2012,K8AinP0L42LDA_ccR4e1dw,txFk44ZWFi-TFh7w5KZxZg,1,3
Bars,Lagasse's Stadium,1/6/2012,qzDZQ6NkKsAKZoOLcksFWQ,TnPYt3Hm-Glyniqyuq9nEA,1,5
Restaurants,LAVO Italian Restaurant & Lounge,1/6/2012,I65giJMQ42tjEuX48KiFjg,j7UH7I6PQ89K9EgOCgcqcA,1,3
Bars,PT's,1/7/2012,m5SHfzoa-6BYmBOuq91Odw,3sWSeGT-5fQ2Z6uAW78VMA,1,3
Bars,ISLA Mexican Kitchen & Tequila Bar,1/8/2012,tozH7FcEvpFwuKsb3T_m0A,vl9BgcNWNw-UWzfa-O3NnA,1,5
Bars,Minus 5 Ice Lounge,1/8/2012,YrjalbgLMAMLDVXQJD95_Q,pb0MADLnmfv5SzCVciVBGQ,1,4
Bars,Mr D's Sportsbar & Grill,1/8/2012,WuYmBsGp99sQVxUXcAyNjg,5oRBQcIjXl1E7lvlvNulfw,1,3
Restaurants,Nicolo's Cucina Italiana,1/8/2012,62LNKpjyPKG6i_c4lEAlFw,pTN3cA4CdJ_oCKa5ou5UZw,1,5
Restaurants,B&B Ristorante,1/9/2012,tXGzIRUF2R0OvKihGWRF1Q,cZMhA-oaxQNE3AXCF_Lk4A,1,5
Bars,SUSHISAMBA Las Vegas,1/10/2012,uBL7VP4AMOFLZc33ys8NLA,Nt8Ikt-sEsuZLg9JshxAMA,1,1
Bars,Tequila Bar and Grill,1/10/2012,fXjAO6C0DGMbg96k9L2J5g,9fTTesCwn9EO-d82ODJAnw,1,4
Restaurants,Lakeside,1/10/2012,,_6bFXoUrzam_1SzP3bFLXA,1,4
Bars,Fat Tuesday,1/11/2012,0_efiwyZRNsrbNiILwEo5A,E0ztmyXb3pcVABNqBmURVQ,1,3
Bars,Artisan Hotel Boutique,1/12/2012,WF42OywT7G3Bz2NlSYI1mw,btc5cy4JHDNdoWyiptVjZA,1,4
Bars,Four Kegs Sports Bar,1/13/2012,Ddz9fZ9OlWTA2ctSR-x7HA,BripuS4ZR94dXVNkr01sfw,1,4
Restaurants,La Scala,1/13/2012,eC2FTBaZbRc8jTtxIF9Ikw,SMmsPueqnfVcZICvqBPsaA,1,3
Bars,Artisan Hotel Boutique,1/14/2012,lLOQgYj3VDxbtVwK07t21g,wnm8d1Jw0zy43Zc5G4Q-Jw,1,4
Bars,The Chandelier,1/14/2012,ePAH6YhoowZn6s-Afj7Gzw,UfeHndURvGfJ5PZuFbHTvA,1,3
Bars,The Peppermill Restaurant & Fireside Lounge,1/14/2012,wIZ4AEim0oI4b4ADARnLhA,jdzrcWd-s300V0huIOj-tA,1,4
Restaurants,Zoozacrackers Deli,1/15/2012,7FvmR26K23u50Wmjh8TTSA,dyA6Pf2DtGIrSrTSpIK-pA,1,4
Bars,The Griffin,1/16/2012,E9ay7ARTO15JEuNwBj4nJg,x84L3DkSgA1qxLqsuJ0dWw,1,5
Restaurants,B&B Ristorante,1/17/2012,mvAixKYf2IvefZQ8Ic5G_A,FwzXiPL8nY3PmmHjRP1h_g,1,4
Restaurants,Battista's Hole In the Wall,1/17/2012,T8QLiy0XYKARKZro7y1Hrw,Egp5GEF-3zzyA_RW6uFt3w,1,2
Bars,McMullan's Irish Pub,1/18/2012,qa8vWolbuiHGnKF5K1vtLA,cF3dN1W98U1r9kVRWshXCw,1,5
Bars,Minus 5 Ice Lounge,1/18/2012,7KSQOfhyj4ecUucg0jtsLQ,iD7dvAeibtlUXnE8owMMBw,1,4
Bars,MIX,1/18/2012,rUnjiz2oHD9uQEjZ6X-Udg,oOk8F07adAgPSZhMYVmbsQ,1,1
Restaurants,Brio Tuscan Grille,1/19/2012,WLoCaQ6Tw9mHD7nYFgevUg,R3aUWpLqK94FLriNk7qwZA,1,5
Restaurants,Otto Enoteca Pizzeria,1/19/2012,LAZb-3LQluNNO-K2_HxVrA,kxBMcJecR1LuuDyzc4Wggg,1,4
Bars,CUT,1/20/2012,XqlKG-rYG3-dOYyl5vEngw,jykemU4-CaDr-8Lnei-_ZA,1,4
Bars,Fat Tuesday,1/20/2012,ngISLfP95IG9UpU5cUrLNw,_MEs0F9otBGROYf3lhi5HQ,1,5
Bars,Minus 5 Ice Lounge,1/20/2012,KXC9oDTd050jwMj3PVIF0A,Lc9LmBuK24mSrDluIs_8Gg,1,4
Restaurants,Mac Shack Spring Valley,1/21/2012,a35o_cjs8Pr1yTHdlsFSwQ,4HvItBajnIkyQQEqfMf4gg,1,3
Bars,Fat Tuesday,1/23/2012,3SeeeN-GqKbiE7IQqrNcSg,ugMQjVWUnW_3An7fJEMLbw,1,5
Bars,Queue Bar,1/23/2012,IIpD9qSFBw6CjF1HWefpew,65uTtfJhrOUp_HyioS4Igw,1,2
Restaurants,D.O.C.G. Enoteca,1/23/2012,5w_yWEGVXVEYYbnD0Roi6g,WJSNywtir04BgDDpZVZMpg,1,1
Bars,SUSHISAMBA Las Vegas,1/24/2012,SsxHsDXtn3KFWukZYhNYOA,Nt8Ikt-sEsuZLg9JshxAMA,1,1
Bars,The Peppermill Restaurant & Fireside Lounge,1/24/2012,HYD1auL1baxXscm5bPk09g,j1flSWztDUVSkLoslkOMwA,1,3
Bars,The Tap House,1/24/2012,Er2OLNm5V83cWCj1IJ67Ow,RpHfsKfIfDqnjZrBbQE6dA,1,5
Bars,View Bar,1/24/2012,Bfvtbi0h6U-u73YkfuUIiw,hNGSNUA10iURaZVn6go8XQ,1,4
Restaurants,Dal Toro Ristorante,1/24/2012,h-cHYuaISlxL8foSRYYESA,aq3vT3I5i-P0Cr5wN0a_wg,1,4
Restaurants,LAVO Italian Restaurant & Lounge,1/24/2012,x4ZyHaN8YwQy3bTDPxUN4w,9RhAM4TzN5r1siu4TQI3eA,1,1
Bars,Caramel Bar & Lounge,1/25/2012,Kn391Vmbj9qIkHTb8snaaQ,2vBTkytEQneHyWcUnCQ04g,1,3
Bars,Nu Sanctuary Lounge,1/26/2012,vwy_166MlExy-TKPADvmsg,8WvOke9T6ReCxlgyXQOcZQ,1,1
Bars,Social House,1/26/2012,jJBdd7BUBm4jVYlNABEtzw,JCtHeG1ucXH90arBbNHbfw,1,5
Bars,Timbers - Horizon Ridge,1/26/2012,8JlELdvfPoLmPBXh72atVw,yhAAeh611cpCksu3PpHloA,1,2
Restaurants,Lupo,1/26/2012,bQDlt8TXbrfNd197bFtwgQ,RbuRUPyuq5--Y9HYbR0cbQ,1,2
Restaurants,Carluccio's Tivoli Gardens,1/27/2012,O1Izrj_0E9ezesoYieuWrg,U3ESRt3OCiWSce0leUFJgg,1,1
Bars,Blue Martini,1/29/2012,,HlVqy-Mv0FnhMbHz1W57yA,1,3
Bars,I-Bar,1/29/2012,kO3J9Z5-i467nqyTmgezOw,nMtPifrS4qd2ggGEo48KRg,1,5
Bars,The Chandelier,1/29/2012,5hZIiy0YrDfcwRh-50o0YQ,r36NbO28-CZqfwu2o6_oFA,1,5
Bars,Zuri,1/29/2012,E1Q4w8GI6XEXWadcSh04kg,G0D9PxpdenszALnHqRT5ug,1,3
Restaurants,Pizzeria Enzo Restaurant,1/29/2012,jFtMdL4_WrL3viwFr9E81Q,DLgcF0SaqtY5iv7FcSBF9Q,1,5
Bars,Moon Nightclub,1/30/2012,9YjKKjfUNouQaGmcrU7Gmg,kDZUGqP3j8eiLKIExBWI8Q,1,5
Bars,Diablo's Cantina,1/31/2012,qe2KCxc7CorPCiXT1QwYcw,7-zMaU9rwUo0yl2f6uM60w,1,4
Bars,Ghostbar,1/31/2012,ynhpbGVj46GIvGg9A-pEQA,20aa2VO2R44oiVnN9mTSSg,1,4
Bars,Kahunaville Island Restaurant,1/31/2012,4v0lljOxruAQP_wbqF3hCQ,rI7vKfmCUmlCyrJ6edz-5w,1,2
Restaurants,Wing Lei,2/1/2012,VBU24iIjgwEXSCjx-LHDCQ,98cgPsPpT8J0TBlY-nk15Q,1,4
Restaurants,Bartolotta Ristorante di Mare,2/2/2012,vqdHvNZDnBMcM4HuKkOy5w,II925yZAQ6sZmLOgcnBVKg,1,5
Cafes,Grand Café,2/3/2012,yF7dOmUHQQDwvWqr7cKn4w,CbYYyBTj-NH6DfnO_NSMaw,1,1
Bars,Lagasse's Stadium,2/4/2012,tP8YYIcSk8TpDw7teqvyIQ,O0M67gJRWwVSGnnsF5aVqA,1,5
Restaurants,LAVO Italian Restaurant & Lounge,2/4/2012,MpYv0FWymgAoJ4ItAqI9lA,lyPBi01DvPcGfVuEegUakw,1,3
Bars,SUSHISAMBA Las Vegas,2/5/2012,9YVThHEjamKCMSjfehFXCw,NzG3rvshWMYaOb849HJcKA,1,4
Bars,Caramel Bar & Lounge,2/7/2012,,07lE2GTzjGgur5vyUycjbw,1,4
Bars,Frankie's Tiki Room,2/7/2012,RLn9-iT8xoD4XScXVqP7Iw,sMBdzt8FE_oaqIzYRAwWZw,1,5
Bars,Gipsy,2/7/2012,BRt0zeJbIba9qM3ky9CWhg,lQA77x8rBaLSiqfoF9v0QA,1,3
Restaurants,Canaletto,2/10/2012,falIUJTPF5Cua3aThISbhw,GvcKdTIhSubwPsnHu_XXSA,1,5
Bars,Lagasse's Stadium,2/13/2012,CaBBsXwACss_bk65uNZRvg,EmyJfRnBICQA9lWnvjwPiA,1,1
Bars,Level 107 Lounge,2/13/2012,9re-mh2iakwPZKlplFfSnw,3MVRNjnWqx45RM2_gXlZ0Q,1,4
Bars,The Beatles Revolution Lounge,2/13/2012,j1ST9cMycJWiA7M0efq_rQ,y0KaYxF0fPRj1KfyO4DToQ,1,5
Restaurants,Nora's Cuisine,2/13/2012,zpoBGUYfL0Y7DolyvBPHcQ,SNoROfGwUf_-FhDCHMYsZQ,1,5
Bars,CUT,2/14/2012,oBzXuE1aHBhPr0geQxmxPg,JRdTRHchEWH_qba8Y8P6cQ,1,5
Restaurants,Buca di Beppo,2/14/2012,1bdTkgUMYE7CZLRaateF9A,5oRBQcIjXl1E7lvlvNulfw,1,4
Restaurants,Tuscany Gardens,2/14/2012,GuRUhVcJC7JSBsyThvCWrg,TZpWvGhxNvqb-fiJxRa--Q,1,4
Bars,McFadden's,2/15/2012,3NaMDZUZh0X2v6hsorEDYw,hbCGcvU3IdEzJyWA12-bLQ,1,3
Restaurants,B&B Ristorante,2/15/2012,LsbBnQDkUX8TogWf2Bjxlw,fCRztChsTEY70QURQfGJew,1,5
Restaurants,D.O.C.G. Enoteca,2/15/2012,FDBPusalcIBmGEnv18xasA,Z4ME_0M7mjSzBokwRUxPMQ,1,4
Restaurants,The Bootlegger Bistro,2/15/2012,tRS6rjcFloqxgGjWq3xGcw,XlM4LMUBSv4p1yW_PJLz7A,1,4
Restaurants,Mama D's Pizzeria,2/16/2012,JuNw3_VfKtKqEYceWZMC7A,qdy-Yb7wbCZIUsTS6AYORw,1,4
Restaurants,D.O.C.G. Enoteca,2/17/2012,VEXnGw1Pr7KocAMLSNjUoA,xfz_Bb4RIYH7N3luWqbyHQ,1,4
Bars,Beso,2/18/2012,VFmRj6V48_datI0FTn9JvA,t9NJwIqV9MflbCv4UUPRvw,1,5
